"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"19","Why go to the Peak District? #hiking #walking #mountaineering #peakdistrict... https://t.co/mmloNMBBrO",FALSE,1,NA,2015-12-15 20:22:36,FALSE,NA,"676859925268733952",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","S_E_Adventures",0,FALSE,FALSE,NA,NA
"20","Why go to the Peak District? #hiking #walking #mountaineering #peakdistrict https://t.co/n4WMP4LM3u https://t.co/2pOdwHJtOo",FALSE,1,NA,2015-12-15 20:22:31,FALSE,NA,"676859906704596992",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","S_E_Adventures",0,FALSE,FALSE,NA,NA
"21","RT @valeriedalling: Currently @StJohnGallery from the introductory work to my #journeysthroughthelandscape ongoing #peakdistrict project ht…",FALSE,0,NA,2015-12-15 20:02:32,FALSE,NA,"676854877457354753",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","A_C_Tgroup",3,TRUE,FALSE,NA,NA
"22","Latest guest comment - ""you left no stone unturned in your preparation for the perfect family stay"" #holidaycottage #PeakDistrict #TTOT",FALSE,2,NA,2015-12-15 19:56:03,FALSE,NA,"676853245655035906",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FHCottage",0,FALSE,FALSE,NA,NA
"23","A little corner of Howden Reservoir.

#PeakDistrict https://t.co/au3Qhzvp8n",FALSE,0,NA,2015-12-15 19:50:12,FALSE,NA,"676851772749717504",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DaveHarryTB",0,FALSE,FALSE,NA,NA
"24","RT @valeriedalling: Currently @StJohnGallery from the introductory work to my #journeysthroughthelandscape ongoing #peakdistrict project ht…",FALSE,0,NA,2015-12-15 19:46:34,FALSE,NA,"676850858399789056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Studio61Gallery",3,TRUE,FALSE,NA,NA
"25","RT @MarkSweens: I hope you all have a great weekend! <ed><U+00A0><U+00BD><ed><U+00B8><U+00AC> #peakdistrict #derbyshire #kinder #edale #hiking #hayfield https://t.co/Ir0Xbr3Ham",FALSE,0,NA,2015-12-15 19:44:15,FALSE,NA,"676850275945197573",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","FrankCapitone",13,TRUE,FALSE,NA,NA
"26","RT @MarkSweens: Under the bridge #hiking #nature #peakdistrict #derbyshire #slipperystones https://t.co/IBFWX4uOeP",FALSE,0,NA,2015-12-15 19:43:51,FALSE,NA,"676850173348339712",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","FrankCapitone",26,TRUE,FALSE,NA,NA
"27","#latergram #peakdistrict #hiking #england @ Kinder Scout https://t.co/83vp6mAGnC",FALSE,0,NA,2015-12-15 19:41:16,FALSE,NA,"676849524971704321",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","mhmli",0,FALSE,FALSE,"-1.86722222","53.38333333"
"28","#Derbyshire #PeakDistrict a bit of sunshine: thank you! https://t.co/4b8k8dCfJK",FALSE,0,NA,2015-12-15 19:33:42,FALSE,NA,"676847621055492097",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","HollyMeadowFarm",2,FALSE,FALSE,NA,NA
"29","RT @PollardRoy: Burbage Valley with Over Owler Tor and Winyards Nick in the middle distance #peakdistrict https://t.co/HXtReOKRb2",FALSE,0,NA,2015-12-15 19:30:49,FALSE,NA,"676846896430870529",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","weasel_fce",7,TRUE,FALSE,NA,NA
"30","RT @PollardRoy: Carrhead rocks above the Hope Valley in the #peakdistrict https://t.co/awWjOSatUm",FALSE,0,NA,2015-12-15 19:09:00,FALSE,NA,"676841402463047680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TaylorTankie42",5,TRUE,FALSE,NA,NA
"31","Some lovely #PeakDistrict rivers in the mist! https://t.co/cBcfztdv9h",FALSE,0,NA,2015-12-15 18:57:49,FALSE,NA,"676838589716692998",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HazelWilsonn",0,FALSE,FALSE,NA,NA
"32","RT @PeakCottagesLtd: 10% off at this Castleton cottage on holidays booked b4 19/12/15 @vpddindustry @madederbyshire #PeakDistrict https://t…",FALSE,0,NA,2015-12-15 18:41:18,FALSE,NA,"676834431722737664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","madederbyshire",1,TRUE,FALSE,NA,NA
"33","RT @PeakCottagesLtd: https://t.co/wwg8Au5vWQ are doing train journeys with Santa! #traveltuesday #travel @madederbyshire @peakinfocentres @…",FALSE,0,NA,2015-12-15 18:41:10,FALSE,NA,"676834399279804416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","madederbyshire",3,TRUE,FALSE,NA,NA
"34","@D2N2GrowthHub @matlocktownteam  @vpdd Check out #PeakDistrict Business Networking"" https://t.co/YMJZt9rYmH",FALSE,0,"D2N2GrowthHub",2015-12-15 18:37:04,FALSE,NA,"676833366772195329","2884915893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fabcoach",0,FALSE,FALSE,NA,NA
"35","RT @PollardRoy: Carrhead rocks above the Hope Valley in the #peakdistrict https://t.co/awWjOSatUm",FALSE,0,NA,2015-12-15 18:36:06,FALSE,NA,"676833122923757568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","trafford19883",5,TRUE,FALSE,NA,NA
"36","Another good reason for choosing the #SamuelFoxInn for your Christmas &amp; New Year celebrations in the #PeakDistrict. https://t.co/UkMrvuIDO2",FALSE,0,NA,2015-12-15 18:35:28,FALSE,NA,"676832963162734596",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","SamuelFoxInn",0,FALSE,FALSE,NA,NA
"37","RT @PollardRoy: Burbage Valley with Over Owler Tor and Winyards Nick in the middle distance #peakdistrict https://t.co/HXtReOKRb2",FALSE,0,NA,2015-12-15 18:33:41,FALSE,NA,"676832514367975424",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nuttiecrunch",7,TRUE,FALSE,NA,NA
"38","RT @PollardRoy: Carrhead rocks above the Hope Valley in the #peakdistrict https://t.co/awWjOSatUm",FALSE,0,NA,2015-12-15 18:32:44,FALSE,NA,"676832277977038848",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nuttiecrunch",5,TRUE,FALSE,NA,NA
"39","RT @PollardRoy: Carrhead rocks above the Hope Valley in the #peakdistrict https://t.co/awWjOSatUm",FALSE,0,NA,2015-12-15 18:32:20,FALSE,NA,"676832175770230786",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","peakinfocentres",5,TRUE,FALSE,NA,NA
"40","RT @PollardRoy: Burbage Valley with Over Owler Tor and Winyards Nick in the middle distance #peakdistrict https://t.co/HXtReOKRb2",FALSE,0,NA,2015-12-15 18:31:50,FALSE,NA,"676832049966284802",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dawnd_austin",7,TRUE,FALSE,NA,NA
"41","RT @PollardRoy: Burbage Valley with Over Owler Tor and Winyards Nick in the middle distance #peakdistrict https://t.co/HXtReOKRb2",FALSE,0,NA,2015-12-15 18:31:41,FALSE,NA,"676832014453067776",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","peakinfocentres",7,TRUE,FALSE,NA,NA
"42","RT @PollardRoy: Carrhead rocks above the Hope Valley in the #peakdistrict https://t.co/awWjOSatUm",FALSE,0,NA,2015-12-15 18:31:01,FALSE,NA,"676831844579606529",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dawnd_austin",5,TRUE,FALSE,NA,NA
"43","This view <ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BC><U+00B3> #Dovedale #LiveChill #PeakDistrict #Derbyshire #England #hills #plains #nature… https://t.co/8PUehhiG49",FALSE,0,NA,2015-12-15 18:18:05,FALSE,NA,"676828592404193281",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ChillTuup",0,FALSE,FALSE,"-1.73263161","53.01856795"
"44","Carrhead rocks above the Hope Valley in the #peakdistrict https://t.co/awWjOSatUm",FALSE,11,NA,2015-12-15 17:39:41,FALSE,NA,"676818928753106944",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PollardRoy",5,FALSE,FALSE,NA,NA
"45","Steve Coogan gets drenched as he resurrects Alan Partridge https://t.co/MHjCj3V5Sm via @DailyMailCeleb #Peakdistrict",FALSE,0,NA,2015-12-15 17:26:00,FALSE,NA,"676815481228140545",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","edwasp",0,FALSE,FALSE,NA,NA
"46","RT @ArtistTracy10: @peakdistrict @BevsfitnessUk ooooo soon be walking pass this exciting <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> https://t.co/ROewNkkzrQ",FALSE,0,NA,2015-12-15 17:18:53,FALSE,NA,"676813690419724288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SANTOLIDONATO1",7,TRUE,FALSE,NA,NA
"47","RT @MarkSweens: Under the bridge #hiking #nature #peakdistrict #derbyshire #slipperystones https://t.co/IBFWX4uOeP",FALSE,0,NA,2015-12-15 17:18:28,FALSE,NA,"676813585620815874",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jekyll_ft",26,TRUE,FALSE,NA,NA
"48","RT @ArtistTracy10: @peakdistrict @BevsfitnessUk ooooo soon be walking pass this exciting <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> https://t.co/ROewNkkzrQ",FALSE,0,NA,2015-12-15 17:09:26,FALSE,NA,"676811312542814211",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GoetzSg",7,TRUE,FALSE,NA,NA
"49","Visit the #PeakDistrict to see sights like this! For a perfect place to stay... https://t.co/Uaip8nCAtI https://t.co/xWoOC0PDaf",FALSE,0,NA,2015-12-15 17:02:05,FALSE,NA,"676809466147381248",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","6littonmill",0,FALSE,FALSE,NA,NA
"50","10% off at this Castleton cottage on holidays booked b4 19/12/15 @vpddindustry @madederbyshire #PeakDistrict https://t.co/NQTeJJdjhi",FALSE,0,NA,2015-12-15 17:00:34,FALSE,NA,"676809084071374849",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","PeakCottagesLtd",1,FALSE,FALSE,NA,NA
"51","RT @ArtistTracy10: @peakdistrict @BevsfitnessUk ooooo soon be walking pass this exciting <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> https://t.co/ROewNkkzrQ",FALSE,0,NA,2015-12-15 16:56:54,FALSE,NA,"676808158187139072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","masanaminori",7,TRUE,FALSE,NA,NA
